time_step,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,velocity_command_x,velocity_command_y,velocity_command_yaw,joint_pos_base_lf1,joint_pos_lf1_lf2,joint_pos_lf2_lf3,joint_pos_base_rf1,joint_pos_rf1_rf2,joint_pos_rf2_rf3,joint_pos_base_lb1,joint_pos_lb1_lb2,joint_pos_lb2_lb3,joint_pos_base_rb1,joint_pos_rb1_rb2,joint_pos_rb2_rb3,joint_vel_base_lf1,joint_vel_lf1_lf2,joint_vel_lf2_lf3,joint_vel_base_rf1,joint_vel_rf1_rf2,joint_vel_rf2_rf3,joint_vel_base_lb1,joint_vel_lb1_lb2,joint_vel_lb2_lb3,joint_vel_base_rb1,joint_vel_rb1_rb2,joint_vel_rb2_rb3,joint_effort_base_lf1,joint_effort_lf1_lf2,joint_effort_lf2_lf3,joint_effort_base_rf1,joint_effort_rf1_rf2,joint_effort_rf2_rf3,joint_effort_base_lb1,joint_effort_lb1_lb2,joint_effort_lb2_lb3,joint_effort_base_rb1,joint_effort_rb1_rb2,joint_effort_rb2_rb3,prev_action_base_lf1,prev_action_lf1_lf2,prev_action_lf2_lf3,prev_action_base_rf1,prev_action_rf1_rf2,prev_action_rf2_rf3,prev_action_base_lb1,prev_action_lb1_lb2,prev_action_lb2_lb3,prev_action_base_rb1,prev_action_rb1_rb2,prev_action_rb2_rb3
10.000000,-0.590524,0.183495,-0.327607,-1.645443,-6.758607,-0.260125,-0.816167,0.107228,-0.566740,0.150000,0.000000,0.000000,0.414059,0.187511,-0.271307,0.296594,-0.192347,0.557117,0.716426,-0.219567,-0.052648,0.045516,-0.319961,0.354615,5.147955,7.991163,-2.734854,2.511005,0.694476,11.208237,7.155947,1.493345,-10.174200,-9.586580,-12.754119,-3.320635,-0.678101,0.612391,0.450567,-0.368007,-0.700546,-0.687554,-0.725772,-0.615450,-0.711138,-0.791689,-0.773897,0.617795,0.844527,1.360124,-0.503440,0.600786,-1.366401,0.896538,0.530820,-1.346263,-0.191674,-0.467076,1.632077,-1.239718
11.000000,-0.101892,-0.346212,0.132448,4.307849,-3.788177,-0.575761,-0.901989,-0.069550,-0.516212,0.150000,0.000000,0.000000,0.414650,0.372588,-0.297767,0.333371,-0.222448,0.806189,0.977168,-0.257240,-0.177509,-0.144652,-0.653473,0.279678,-1.029368,4.065974,0.599109,1.325177,-1.580142,9.123739,7.543179,-1.729182,-9.055241,-11.915582,-0.267347,2.242307,0.705193,-0.727735,0.664327,0.607792,-0.790351,-0.607964,-0.734738,-0.746402,0.731892,0.754322,-0.796988,0.698316,0.841247,1.515615,-0.573341,0.506273,-1.278560,0.896695,0.638091,-1.355900,-0.117208,-0.517273,1.731598,-1.320209
12.000000,-0.192870,-0.468308,0.015656,5.062158,-4.994679,-0.892191,-0.814328,-0.050544,-0.394495,0.150000,0.000000,0.000000,0.443252,0.439982,-0.265328,0.302016,-0.268354,0.908901,1.052703,-0.263930,-0.386121,-0.358330,-0.617173,0.335339,0.530043,1.306276,1.252129,-0.948820,-1.111424,6.870081,5.461721,-0.457161,-6.474793,-11.732569,1.871583,5.007330,-0.740562,-0.748547,-0.198382,-0.747732,-0.780750,-0.752492,-0.719198,-0.765154,0.624236,0.609049,-0.762306,0.605565,0.792935,1.020324,-0.356171,0.135841,-1.125707,0.973004,0.267981,-1.130528,0.457529,-0.222217,1.500703,-0.777015
13.000000,-0.093324,-0.139121,0.285758,1.996635,-3.578736,-0.223736,-0.921614,-0.196348,-0.452674,0.150000,0.000000,0.000000,0.411371,0.392700,-0.270141,0.327736,-0.278709,1.097587,1.093070,-0.212681,-0.377244,-0.590581,-0.598245,0.374073,-2.398112,-0.542859,1.444364,1.052122,-0.577633,2.916796,0.375309,-0.793018,-3.361501,-8.872751,1.508420,1.275340,0.687710,-0.005649,-0.618405,-0.731150,-0.722647,-0.600689,-0.643672,-0.606941,0.707752,0.611971,-0.734498,-0.341844,0.770491,0.777315,0.077910,-0.396090,-1.212364,0.859655,0.155524,-1.073884,0.364923,-0.051876,1.637312,-0.423405
14.000000,-0.110442,0.001626,0.431709,1.464856,-3.441252,-0.348480,-1.034981,-0.200104,-0.215515,0.150000,0.000000,0.000000,0.325656,0.393503,-0.257170,0.262232,-0.259124,1.072890,1.054316,-0.196446,-0.446082,-0.621175,-0.625755,0.379523,-2.362961,1.227407,-0.626726,-1.811133,-1.535084,-0.819806,-1.214129,-0.764808,-0.623793,0.597962,-0.639278,-0.750392,-0.763850,-0.657826,0.644817,-0.771577,-0.654082,-0.782001,-0.687203,-0.783957,0.673496,0.633682,0.698703,0.641724,0.549240,0.876659,0.055144,0.078675,-1.217124,0.485695,0.452551,-1.045305,0.266911,-0.286400,1.428313,-0.677734
15.000000,0.020652,0.200927,0.439892,-1.099819,-2.148829,0.107663,-1.042816,-0.146863,-0.146582,0.150000,0.000000,0.000000,0.297767,0.366508,-0.207046,0.181886,-0.220534,1.106403,1.010668,-0.247079,-0.344304,-0.469129,-0.619961,0.458387,-2.342515,-0.753680,4.576291,-5.170822,-0.034497,-1.528022,-3.851593,-1.056903,5.539429,6.650358,2.791077,-0.624066,-0.785700,-0.676199,0.668764,-0.723085,-0.629605,-0.656070,-0.603251,-0.619134,0.774996,0.708220,0.779245,-0.734170,0.493721,0.708027,0.121800,-0.006376,-0.775299,0.675213,0.802379,-0.744175,-0.284559,-0.231952,1.330026,-0.711222
16.000000,0.120991,0.062383,0.379996,-1.943908,-0.947227,0.556922,-0.899215,-0.102647,-0.239955,0.150000,0.000000,0.000000,0.238496,0.407168,-0.129396,0.064358,-0.209388,1.036665,0.926179,-0.247502,-0.252969,-0.354709,-0.487297,0.468887,-2.408003,-1.563022,3.889409,-6.850246,0.773562,-5.070376,-5.054760,0.098243,7.400341,6.618467,4.897605,0.732472,0.733729,-0.707590,-0.712878,0.730597,-0.666394,-0.735411,-0.612159,-0.744085,0.621592,0.661223,0.633455,-0.696037,1.025224,0.793579,0.014911,-0.190309,-0.659321,0.965178,1.032736,-0.652335,-1.007881,-0.170387,1.434630,-1.283816
17.000000,0.060816,0.047693,0.418957,-2.905637,-1.303165,0.640002,-1.001660,0.015656,-0.110329,0.150000,0.000000,0.000000,0.133411,0.393917,-0.106343,0.037968,-0.198309,0.899787,0.790062,-0.238249,-0.121449,-0.239428,-0.348776,0.353434,-1.136546,-1.717268,-0.735975,-5.364831,0.648767,-9.188173,-5.970292,-0.438725,8.515465,7.999401,4.593292,-2.955240,0.626492,0.012502,-0.702506,0.654346,-0.700706,-0.633218,0.755420,-0.720735,-0.644493,-0.688476,-0.698033,-0.649846,0.987204,0.944793,-0.595241,0.052581,-0.618245,0.999049,1.093715,-0.622414,-1.107797,-0.487486,1.553190,-1.356622
18.000000,-0.113481,0.123495,0.349571,-2.221957,-1.999544,1.151842,-1.037619,0.037002,-0.239409,0.150000,0.000000,0.000000,0.238398,0.335531,-0.079658,-0.081004,-0.229232,0.682699,0.663109,-0.239945,0.045959,-0.063490,-0.270712,0.328845,2.405015,-0.056823,1.768153,-0.381738,0.122034,-8.061090,-5.640981,-1.413165,6.224073,7.051073,1.669925,-2.507526,0.795582,0.156320,0.024589,0.666890,-0.636453,0.701748,0.791366,-0.676204,-0.675383,-0.610310,-0.752819,0.233202,0.953021,1.069234,-0.931060,0.134914,-0.535967,1.196868,0.897862,-0.859490,-0.793703,-0.339666,2.114737,-1.109771
19.000000,-0.173803,0.187315,0.322888,-2.079948,-2.675028,1.214080,-1.013735,-0.107624,-0.074144,0.150000,0.000000,0.000000,0.286804,0.297331,-0.142301,-0.065968,-0.284417,0.529296,0.694714,-0.228385,0.109028,-0.030776,-0.297752,0.395902,3.699031,2.101221,1.571626,-2.687112,0.459008,-8.273150,0.203426,-0.544432,3.669905,1.497696,-1.974299,2.881243,0.608234,0.751606,-0.163425,0.165908,-0.657917,0.737405,0.739175,-0.759305,-0.693143,-0.751103,-0.789796,0.640186,1.287625,3.298951,-1.849373,1.305656,0.019563,1.063394,2.215676,-2.381082,-2.145183,-0.827493,2.089147,-1.968828
