global_step,loop,csv_step,time,playback_hz,hw_scale,sim_action_0,cmd_pos_0,real_pos_0,sim_action_1,cmd_pos_1,real_pos_1,sim_action_2,cmd_pos_2,real_pos_2,sim_action_3,cmd_pos_3,real_pos_3,sim_action_4,cmd_pos_4,real_pos_4,sim_action_5,cmd_pos_5,real_pos_5,sim_action_6,cmd_pos_6,real_pos_6,sim_action_7,cmd_pos_7,real_pos_7,sim_action_8,cmd_pos_8,real_pos_8,sim_action_9,cmd_pos_9,real_pos_9,sim_action_10,cmd_pos_10,real_pos_10,sim_action_11,cmd_pos_11,real_pos_11
10,0,10,0.4023916721343994,25,0.55,0.841247,0.46268585,0.47980687800280475,1.515615,1.5,1.533668413616108,-0.573341,-1.88533755,-2.244412587258531,0.506273,0.27845015,0.354143171859213,-1.27856,0.08179199999999998,0.014279966607226413,0.896695,-1.07681775,-1.0677433388230815,0.638091,0.35095005,0.5369267444317101,-1.3559,0.03925499999999993,0.25989539225151925,-0.117208,-1.6344644000000002,-1.8617094821848656,-0.517273,-0.28450015,-0.2284794657156213,1.731598,1.5,1.545092386901889,-1.320209,-2.29611495,-2.3986362266165755
11,0,11,0.44245386123657227,25,0.55,0.792935,0.43611425,0.46838290471702365,1.020324,1.3461782000000002,1.5051084804016552,-0.356171,-1.76589405,-1.8445735222561939,0.135841,0.07471255,0.3655671451449941,-1.125707,0.16586115,0.0028559933214453714,0.973004,-1.0348478,-1.096303272037534,0.267981,0.14738955000000004,0.42839899821678995,-1.130528,0.16320959999999995,0.17992757925105185,0.457529,-1.31835905,-1.7531817359699455,-0.222217,-0.12221935,-0.28559933214452665,1.500703,1.5,1.5565163601876701,-0.777015,-1.99735825,-2.2672605338300933
12,0,12,0.4825582504272461,25,0.55,0.770491,0.42377005000000006,0.46838290471702365,0.777315,1.21252325,1.487972520472984,0.07791,-1.5271495000000002,-1.8731334554706467,-0.39609,-0.21784950000000003,0.3370072119305414,-1.212364,0.11819979999999997,0.0028559933214453714,0.859655,-1.09718975,-1.0905912853946436,0.155524,0.08553820000000001,0.3655671451449941,-1.073884,0.19436379999999998,0.2656073788944098,0.364923,-1.36929235,-1.7131978294697117,-0.051876,-0.028531800000000003,-0.2913113187874172,1.637312,1.5,1.573652320116342,-0.423405,-1.8028727500000001,-2.2786845071158743
13,0,13,0.5227022171020508,25,0.55,0.54924,0.302082,0.46267091807413313,0.876659,1.26716245,1.487972520472984,0.055144,-1.5396708000000001,-1.816013589041741,0.078675,0.043271250000000004,0.1770715859296065,-1.217124,0.11558179999999996,0.09995976625058434,0.485695,-1.30286775,-1.0905912853946436,0.452551,0.24890305000000001,0.17135959928671599,-1.045305,0.21008225000000003,0.22562347239417613,0.266911,-1.42319895,-1.4904303503969807,-0.2864,-0.15752,-0.21705549242984024,1.428313,1.5,1.596500266687904,-0.677734,-1.9427537000000001,-2.1930047074725163
14,0,14,0.5627171993255615,25,0.55,0.493721,0.27154655000000005,0.42839899821678995,0.708027,1.17441485,1.2709170280431437,0.1218,-1.50301,-1.5932461099690105,-0.006376,-0.0035068,-0.028559933214452663,-0.775299,0.35858555000000003,0.10567175289347486,0.675213,-1.19863285,-1.1191512186090962,0.802379,0.44130845,0.11423973285781065,-0.744175,0.37570375,0.2770313521801909,-0.284559,-1.7265074500000002,-1.3990385641107324,-0.231952,-0.1275736,-0.13137569278648226,1.330026,1.5,1.5907882800450133,-0.711222,-1.9611721000000002,-2.084476961257596
15,0,15,0.6028611660003662,25,0.55,1.025224,0.5,0.2798873455016361,0.793579,1.2214684500000001,1.265205041400253,0.014911,-1.56179895,-1.5189902836114335,-0.190309,-0.10466995000000001,-0.09139178628624853,-0.659321,0.42237345,0.09995976625058434,0.965178,-1.0391521,-1.1876950583237826,1.032736,0.5,0.34271919857343197,-0.652335,0.42621575,0.22562347239417613,-1.007881,-2.1243345500000004,-1.3990385641107324,-0.170387,-0.09371285000000001,-0.13137569278648226,1.43463,1.5,1.5679403334734512,-1.283816,-2.2760988,-1.9987971616142381
16,0,16,0.6428637504577637,25,0.55,0.987204,0.5,0.27417535885874555,0.944793,1.30463615,1.1909492150426761,-0.595241,-1.8973825500000001,-1.501854323682762,0.052581,0.028919550000000002,0.03998390650023373,-0.618245,0.44496525,0.32272724532331515,0.999049,-1.02052305,-1.256238898038469,1.093715,0.5,0.4969428379314763,-0.622414,0.4426723,0.3170152586804246,-1.107797,-2.17928835,-1.707485842826821,-0.487486,-0.2681173,-0.13137569278648226,1.55319,1.5,1.5393804002589986,-1.356622,-2.3161421,-2.01593312154291
17,0,17,0.6829884052276611,25,0.55,0.953021,0.5,0.4512469447883521,1.069234,1.3730787000000002,1.1966612016855667,-0.93106,-2.082083,-1.5703981633974484,0.134914,0.07420270000000001,-0.06283185307179585,-0.535967,0.49021815,0.4483909514669069,1.196868,-0.9117225999999999,-1.096303272037534,0.897862,0.49382410000000004,0.4912308512885858,-0.85949,0.3122805,0.43125499153823527,-0.793703,-2.00653665,-2.038781068114472,-0.339666,-0.18681630000000002,-0.11423973285781065,2.114737,1.5,1.5622283468305607,-1.109771,-2.18037405,-2.0959009345433772
18,0,18,0.7230408191680908,25,0.55,1.287625,0.5,0.4969428379314763,3.298951,1.5,1.3109009345433773,-1.849373,-2.5,-1.7874536558272887,1.305656,0.5,-0.06283185307179585,0.019563,0.79575965,0.47123889803846897,1.063394,-0.9851333,-1.05060737889441,2.215676,0.5,0.5369267444317101,-2.381082,0.0,0.4483909514669069,-2.145183,-2.5,-2.2387006006156405,-0.827493,-0.45512115000000003,-0.21134350578694971,2.089147,1.5,1.4822605338300932,-1.968828,-2.5,-2.3300923869018892
19,0,19,0.7631375789642334,25,0.55,1.419871,0.5,0.4969428379314763,3.564332,1.5,1.3109009345433773,-2.354021,-2.5,-2.010221134900019,1.232481,0.5,0.017135959928671597,0.217628,0.9046954,0.47695088468135954,0.745286,-1.1600927,-1.05060737889441,2.507588,0.5,0.4969428379314763,-2.485845,0.0,0.41411903160956365,-2.550104,-2.5,-2.084476961257596,-1.129681,-0.5,-0.21705549242984024,1.813676,1.5,1.5165324536874365,-1.927997,-2.5,-2.2387006006156405
20,0,20,0.8031902313232422,25,0.55,1.345548,0.5,0.5026548245743668,2.244041,1.5,1.4765485471872029,-1.96724,-2.5,-2.4214841731881376,0.376729,0.20720095,0.017135959928671597,-0.430483,0.54823435,0.6940063771111997,0.795302,-1.1325839,-1.0163354590370668,1.350036,0.5,0.5197907845030385,-1.697593,0.0,0.33986320525198677,-1.614071,-2.4577390500000003,-2.084476961257596,-0.717242,-0.39448310000000003,-0.28559933214452665,2.030483,1.5,1.5165324536874365,-1.418013,-2.34990715,-2.2387006006156405
21,0,21,0.8432266712188721,25,0.55,1.496014,0.5,0.4969428379314763,2.058425,1.5,1.4765485471872029,-1.792842,-2.5,-2.4843160262599335,0.616445,0.33904475000000006,0.46838290471702365,-0.707479,0.39588655,0.9053498828981494,1.082121,-0.97483345,-1.0905912853946436,1.094765,0.5,0.5026548245743668,-1.866031,0.0,0.1913515525368329,-1.161695,-2.20893225,-2.084476961257596,-0.712985,-0.39214175,-0.4512469447883521,1.733277,1.5,1.4936845071158742,-1.773999,-2.5,-2.4843160262599335
22,0,22,0.8833670616149902,25,0.55,1.047148,0.5,0.5083668112172574,1.676714,1.5,1.4822605338300932,-1.023171,-2.1327440500000003,-2.5014519861886053,0.525047,0.28877585000000006,0.3884150917165562,-1.173531,0.13955794999999993,0.9281978294697116,1.433623,-0.7815073499999999,-1.15913512510933,0.649998,0.3574989,0.5026548245743668,-1.636698,0.0,0.16279161932238018,-0.279522,-1.7237371000000001,-2.4214841731881376,-0.394174,-0.21679570000000004,-0.42268701157389943,1.919171,1.5,1.499396493758765,-1.587775,-2.4432762500000003,-2.4843160262599335
23,0,23,0.9234144687652588,25,0.55,0.717404,0.39457220000000004,0.514078797860148,1.507854,1.5,1.4936845071158742,-1.028358,-2.1355969000000004,-2.4786040396170432,0.258496,0.14217280000000002,0.3884150917165562,-1.043485,0.21108324999999994,0.4940868446100311,1.209708,-0.9046606,-1.147711151823549,0.246987,0.13584285000000001,0.5026548245743668,-1.561463,0.0,0.16279161932238018,-0.11288,-1.632084,-2.3529403334734513,-0.320561,-0.17630855,-0.41697502493100885,1.555919,1.5,1.5051084804016552,-1.491075,-2.3900912500000002,-2.4043482132594662
24,0,24,0.9635055065155029,25,0.55,0.726053,0.39932915,0.4969428379314763,0.840501,1.2472755500000001,1.5279564269732175,-0.993468,-2.1164074,-2.4786040396170432,0.547409,0.30107495000000006,0.37699111843077515,-0.814613,0.33696285,0.2427594323228477,0.415664,-1.3413848000000002,-0.9934875124655045,0.559506,0.3077283,0.4912308512885858,-0.935824,0.2702968,0.2427594323228477,-0.326465,-1.74955575,-2.050205041400253,-0.651034,-0.3580687,-0.23419145235851183,0.846074,1.2503407000000002,1.533668413616108,-1.201425,-2.23078375,-2.4100601999023565
25,0,25,1.0037128925323486,25,0.55,0.557611,0.30668605,0.4569589314312426,0.497022,1.0583621,1.533668413616108,-0.663655,-1.9350102500000002,-2.4786040396170432,0.042829,0.023555950000000003,0.14851165271515385,-0.345511,0.5949689499999999,0.17992757925105185,0.329333,-1.38886685,-0.9649275792510519,0.278377,0.15310735,0.4912308512885858,-0.688072,0.4065604,0.22562347239417613,0.199707,-1.46016115,-1.6960618695410399,-0.34148,-0.187814,-0.1942075458582781,0.863563,1.25995965,1.5508043735447796,-0.325056,-1.7487808,-2.4214841731881376
26,0,26,1.044130802154541,25,0.55,0.246979,0.13583845,0.35985515850210353,0.347896,0.9763428000000001,1.288052987971815,-0.475035,-1.83126925,-2.073052987971815,0.288006,0.1584033,0.257039398930074,-0.422105,0.55284225,0.31130327203753405,0.308621,-1.4002584500000002,-0.9649275792510519,0.224523,0.12348765,0.2627513855729645,-0.467937,0.52763465,0.17421559260816133,0.108823,-1.51014735,-1.6960618695410399,-0.297037,-0.16337035,-0.26846337221585503,0.670708,1.1538894000000002,1.4822605338300932,-0.312349,-1.74179195,-2.295820467044546
27,0,27,1.0841259956359863,25,0.55,0.173942,0.09566810000000002,0.35985515850210353,0.274809,0.9361449500000001,1.070997495541975,-0.28739,-1.7280645000000001,-1.9702372283997858,0.057659,0.03171245,0.18849555921538758,-0.291684,0.6245738000000001,0.46552691139557845,0.342057,-1.3818686500000001,-1.3819026041820606,0.011513,0.006332150000000001,0.2456154256442929,-0.100241,0.72986745,0.17421559260816133,0.033984,-1.5513088000000002,-1.7017738561839306,-0.118048,-0.06492640000000001,-0.2798873455016361,0.307479,0.95411345,1.3109009345433773,-0.065909,-1.60624995,-2.1187488811149393
28,0,28,1.124176025390625,25,0.55,0.118742,0.06530810000000001,0.23419145235851183,0.412624,1.0119432000000002,0.985317695898617,-0.19764,-1.6787020000000001,-1.878845442113537,0.220341,0.12118755000000002,0.11995171950070119,-0.644099,0.43074555000000003,0.5397827377531554,0.437472,-1.3293904,-1.4333104839680755,0.213704,0.11753720000000001,0.21705549242984024,-0.265814,0.6388023,0.2941673121088625,-0.149953,-1.65247415,-1.7131978294697117,-0.237045,-0.13037475,-0.2798873455016361,0.527417,1.07507935,1.2937649746147057,-0.129022,-1.6409621,-1.964525241756895
29,0,29,1.164264440536499,25,0.55,0.231771,0.12747405,0.07425582635757692,0.132122,0.8576671,0.9453337893983832,-0.021286,-1.5817073000000001,-1.7131978294697117,0.082093,0.04515115,0.10281575957202958,-0.905057,0.28721864999999996,0.6083265774678418,0.529096,-1.2789972,-1.4104625373965134,0.722648,0.3974564,0.11995171950070119,-0.15362,0.700509,0.5797666442533891,-0.492855,-1.84107025,-1.5703981633974484,-0.271793,-0.14948615,-0.17135959928671599,1.069034,1.3729687000000002,1.1852372283997856,-0.196974,-1.6783357,-1.964525241756895
30,0,30,1.2043325901031494,25,0.55,-0.046805,-0.025742750000000002,0.06854383971468639,0.049371,0.8121540500000001,1.0310135890417411,-0.02557,-1.5840635,-1.6960618695410399,0.009617,0.005289350000000001,0.11423973285781065,-0.280301,0.63083445,0.6083265774678418,0.468709,-1.31221005,-1.3933265774678418,0.507665,0.27921575000000004,0.10852774621492012,0.272354,0.9347947000000001,0.6597344572538566,-0.151756,-1.6534658,-1.5875341233261198,-0.217968,-0.1198824,-0.11423973285781065,0.735946,1.1897703000000002,1.070997495541975,0.049563,-1.54274035,-1.707485842826821
31,0,31,1.2443695068359375,25,0.55,0.163429,0.08988595,0.11423973285781065,-0.207524,0.6708618000000001,0.9453337893983832,0.058872,-1.5376204,-1.6389420031121347,0.13345,0.07339750000000002,0.06283185307179585,-0.668719,0.41720455,0.48266287132425006,0.575882,-1.2532649,-1.3933265774678418,1.07869,0.5,0.3141592653589793,0.128819,0.85585045,0.7454142568972145,-0.338512,-1.7561816000000001,-1.816013589041741,-0.383991,-0.21119505000000002,-0.17135959928671599,1.097834,1.3888087000000002,1.2195091482571288,-0.011989,-1.5765939500000001,-1.6789259096123685
32,0,32,1.2844927310943604,25,0.55,0.037278,0.0205029,-0.011423973285781066,0.099851,0.8399180500000001,0.8082461099690104,-0.139224,-1.6465732,-1.6389420031121347,0.05361,0.0294855,0.06283185307179585,-0.400295,0.56483775,0.3512871785377678,0.737804,-1.1642078,-1.3590546576104985,0.579663,0.31881465000000003,0.3370072119305414,0.160704,0.8733872,0.7682622034687767,-0.171796,-1.6644878,-1.7760296825415076,-0.124767,-0.06862185000000001,-0.17135959928671599,0.940787,1.3024328500000002,1.3565968276865017,-0.097622,-1.6236921,-1.6389420031121347
33,0,33,1.3245229721069336,25,0.55,0.149394,0.08216670000000001,0.05140787978601479,0.1083,0.844565,0.751126243540105,-0.123597,-1.63797835,-1.6046700832547915,-0.086148,-0.047381400000000004,0.06283185307179585,-0.054721,0.75490345,0.47123889803846897,0.58899,-1.2460555,-1.319070751110265,-0.117525,-0.06463875000000001,0.3827031050736657,-0.079661,0.74118645,0.8482300164692441,0.093782,-1.5184199,-1.781741669184398,0.074757,0.04111635,-0.15422363935804437,0.655802,1.1456911,1.3337488811149394,-0.043707,-1.59403885,-1.6160940565405726
34,0,34,1.3646323680877686,25,0.55,0.236629,0.13014595,0.022847946571562132,0.044745,0.80960975,0.7454142568972145,-0.047286,-1.5960073000000001,-1.598958096611901,-0.053423,-0.02938265,0.028559933214452663,-0.022899,0.77240555,0.5112228045387027,0.353742,-1.3754419,-1.2276789648240163,0.071507,0.039328850000000005,0.3827031050736657,-0.270353,0.6363058500000001,0.9510457760412737,0.197311,-1.46147895,-1.7189098161126022,0.130576,0.0718168,-0.09710377292913905,0.638464,1.1361552000000001,1.3337488811149394,-0.026314,-1.5844727,-1.6160940565405726
35,0,35,1.4047956466674805,25,0.55,0.148534,0.08169370000000001,0.03998390650023373,0.259623,0.92779265,0.8939259096123684,0.098965,-1.51556925,-1.6389420031121347,-0.020737,-0.01140535,-0.017135959928671597,-0.433532,0.5465574,0.728278296968543,0.589215,-1.24593175,-1.1876950583237826,0.114079,0.06274345,0.2284794657156213,-0.262118,0.6408351,0.8310940565405726,0.296164,-1.4071098,-1.7189098161126022,0.008526,0.0046893,-0.057119866428905326,0.967877,1.31733235,1.2423570948286908,-0.349269,-1.76209795,-1.6046700832547915
36,0,36,1.4448132514953613,25,0.55,0.059653,0.03280915,0.10852774621492012,0.144553,0.86450415,0.8425180298263536,0.274344,-1.4191108000000001,-1.6046700832547915,-0.193118,-0.10621490000000001,-0.057119866428905326,-0.120425,0.71876625,0.7853981633974483,0.420931,-1.33848795,-1.3761906175391703,0.066585,0.03662175000000001,0.11423973285781065,-0.148938,0.7030841,0.7339902836114335,0.095026,-1.5177357,-1.6446539897550252,0.002528,0.0013904,0.07996781300046746,0.595191,1.1123550500000001,1.1852372283997856,-0.152185,-1.65370175,-1.621806043183463
37,0,37,1.4849193096160889,25,0.55,-0.043086,-0.0236973,0.10281575957202958,-0.057631,0.75330295,0.8653659763979158,0.221211,-1.44833395,-1.524702270254324,-0.159564,-0.08776020000000001,-0.057119866428905326,-0.055446,0.7545047,0.7739741901116672,0.199697,-1.4601666500000001,-1.3533426709676082,0.151004,0.0830522,0.10281575957202958,0.030219,0.80162045,0.728278296968543,-0.066017,-1.60630935,-1.5304142568972146,-0.042812,-0.023546600000000004,-0.022847946571562132,0.427508,1.0201294,1.2252211349000193,0.021249,-1.55831305,-1.7017738561839306
38,0,38,1.52500319480896,25,0.55,-0.016381,-0.00900955,0.028559933214452663,-0.088176,0.7365032,0.825382069897682,-0.070887,-1.60898785,-1.4447344572538565,-0.058841,-0.032362550000000004,-0.13137569278648226,-0.013229,0.77772405,0.7454142568972145,0.193978,-1.4633121,-1.3590546576104985,0.09558,0.052569000000000005,0.07996781300046746,0.049429,0.81218595,0.7339902836114335,0.101897,-1.5139566500000001,-1.5189902836114335,-0.0369,-0.020295000000000004,-0.011423973285781066,0.438171,1.02599405,1.2252211349000193,0.151309,-1.4867800500000001,-1.6960618695410399
39,0,39,1.5651037693023682,25,0.55,-0.003346,-0.0018403000000000002,-0.022847946571562132,0.088216,0.8335188,0.7853981633974483,-0.017334,-1.5795337,-1.4561584305396376,0.028771,0.015824050000000003,-0.10852774621492012,0.027521,0.8001365500000001,0.7739741901116672,0.247643,-1.4337963500000002,-1.4675824038254186,0.058824,0.032353200000000006,0.09710377292913905,-0.023817,0.7719006500000001,0.739702270254324,0.135303,-1.49558335,-1.6046700832547915,-0.06705,-0.0368775,-0.07425582635757692,0.37742,0.992581,1.0253016023988506,0.146469,-1.48944205,-1.5703981633974484
40,0,40,1.6051886081695557,25,0.55,-0.000792,-0.0004356,-0.034271919857343194,0.182178,0.8851979000000001,0.7454142568972145,-0.09232,-1.620776,-1.524702270254324,0.112254,0.06173970000000001,-0.028559933214452663,0.06823,0.8225265,0.7682622034687767,0.154488,-1.4850316000000001,-1.5075663103256525,0.069197,0.03805835,0.07996781300046746,0.071118,0.8241149,0.7682622034687767,0.155091,-1.48469995,-1.6046700832547915,-0.10737,-0.0590535,-0.03998390650023373,0.357084,0.9813962,1.0481495489704127,0.290998,-1.4099511,-1.5703981633974484
41,0,41,1.6452436447143555,25,0.55,0.041944,0.0230692,-0.011423973285781066,-0.098725,0.7307012500000001,0.8596539897550252,-0.180545,-1.66929975,-1.6046700832547915,0.185266,0.1018963,-0.011423973285781066,0.242246,0.9182353000000001,0.8425180298263536,0.197838,-1.4611891000000001,-1.4732943904683093,0.041967,0.02308185,0.08567979964335799,0.088521,0.83368655,0.8539420031121346,0.090948,-1.5199786,-1.5532622034687766,-0.153467,-0.08440685,-0.045695893143124264,0.178781,0.88332955,1.0310135890417411,0.069428,-1.5318146000000001,-1.5475502168258863
42,0,42,1.6853361129760742,25,0.55,0.13178,0.07247900000000002,0.0,-0.226017,0.66069065,0.8653659763979158,-0.200389,-1.6802139500000002,-1.5875341233261198,0.124386,0.06841230000000001,0.017135959928671597,0.278706,0.9382883000000001,0.8539420031121346,0.245143,-1.43517135,-1.4904303503969807,0.081887,0.045037850000000004,0.06854383971468639,0.19926,0.8945930000000001,0.8425180298263536,0.043659,-1.54598755,-1.536126243540105,-0.146004,-0.0803022,-0.08567979964335799,0.108816,0.8448488000000001,0.9910296825415075,0.028936,-1.5540852,-1.4504464438967473
43,0,43,1.7254488468170166,25,0.55,0.181286,0.09970730000000001,0.045695893143124264,-0.211449,0.66870305,0.8425180298263536,-0.357047,-1.7663758500000002,-1.6560779630408065,0.095256,0.0523908,0.06283185307179585,0.288434,0.9436387,0.9281978294697116,0.082076,-1.5248582000000002,-1.513278296968543,0.080484,0.044266200000000006,0.06854383971468639,0.451111,1.03311105,0.8482300164692441,0.227266,-1.4450037,-1.5418382301829956,-0.150424,-0.0827332,-0.07996781300046746,0.020423,0.79623265,0.9910296825415075,0.051722,-1.5415529000000001,-1.5189902836114335
44,0,44,1.7654485702514648,25,0.55,0.10248,0.056364000000000004,0.057119866428905326,0.052637,0.81395035,0.6882943904683092,-0.041568,-1.5928624,-1.707485842826821,-0.121509,-0.06682995000000001,0.06854383971468639,0.014619,0.79304045,0.9510457760412737,-0.101527,-1.62583985,-1.5075663103256525,0.028497,0.015673350000000003,0.07996781300046746,0.275841,0.93671255,0.8596539897550252,0.020265,-1.55885425,-1.536126243540105,0.097927,0.05385985000000001,-0.14279966607226333,0.102901,0.8415955500000001,0.8653659763979158,0.142257,-1.49175865,-1.598958096611901
45,0,45,1.8055520057678223,25,0.55,0.026699,0.014684450000000002,0.06854383971468639,0.187434,0.8880887000000001,0.6368865106822944,-0.066946,-1.6068203,-1.7189098161126022,-0.24535,-0.13494250000000002,0.03998390650023373,-0.176527,0.68791015,0.9453337893983832,-0.299686,-1.7348273,-1.5075663103256525,0.133888,0.0736384,0.06283185307179585,0.126777,0.85472735,0.9167738561839305,0.096745,-1.5167902500000001,-1.5075663103256525,0.121306,0.06671830000000001,-0.10852774621492012,0.031527,0.8023398500000001,0.8596539897550252,0.122261,-1.5027564500000001,-1.5761101500403387
46,0,46,1.8455851078033447,25,0.55,0.119305,0.06561775,0.08567979964335799,0.070065,0.82353575,0.8425180298263536,-0.168836,-1.6628598,-1.7189098161126022,-0.18582,-0.10220100000000001,-0.07996781300046746,-0.198848,0.6756336000000001,0.7796861767545578,-0.227393,-1.6950661500000002,-1.6960618695410399,0.162187,0.08920285,0.06283185307179585,0.087173,0.83294515,0.9167738561839305,0.130929,-1.4979890500000002,-1.5075663103256525,0.057873,0.03183015,-0.05140787978601479,0.157109,0.8714099500000001,0.8596539897550252,0.177021,-1.47263845,-1.5875341233261198
